sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
1,0,82,468,0.17841083392941198,2,work,1,0,4,0,2,0,36,0
1,0,1079,27,0.4562767092920024,52,unknown,4,4,2,1,2,3,183,0
1,0,1,9,0.003969311140242307,1,university,4,0,0,0,0,7,3,0
1,116,162,149,0.1026119465442261,842,unknown,2,1,1,0,2,0,497,0
2,0,29,72,0.22072209634046894,11,unknown,0,0,0,0,0,0,1,0
1,0,51,2442,2.3498207214359286,270,unknown,0,0,0,0,0,0,27,0
1,0,49,169,0.18027919718370544,378,school,0,2,2,1,2,0,149,0
1,0,947,155,0.21819152980220624,800,unknown,4,2,2,0,6,0,302,0
1,0,108,449,1.7936552110095707,26,unknown,0,0,0,0,0,0,5,0
1,17,414,158,1.34616399175017,24,unknown,7,0,0,0,0,0,0,0
1,22,385,240,0.09720052822412056,110,university,0,0,0,0,0,0,287,0
1,14,43,1777,2.99532179963955,552,work,0,0,0,0,0,0,7,0
1,0,73,35,0.01334251643204362,4,unknown,0,0,0,0,0,0,31,0
2,0,1083,155,0.1041971980523807,154,unknown,1,4,4,6,1,0,234,0
1,0,4,35,0.04353805684008501,0,unknown,0,0,0,0,0,0,3,0
1,0,29,162,0.8978254059034485,11,unknown,0,0,0,0,0,0,2,0
1,0,8,123,0.4831126946552476,8,unknown,0,0,0,0,0,0,0,0
1,0,5,5418,2.5565582042881347,223,university,0,0,0,0,0,0,39,0
1,0,81,1300,0.6983127732590922,82,university,0,0,0,0,0,0,64,0
1,18,183,7632,4.535046004763249,3241,school,7,1,1,1,2,0,403,0
1,15,84,20,0.3220518279795944,124,unknown,0,0,0,0,0,0,27,0
1,0,137,58920,31.283201647419915,377,university,0,0,0,0,0,0,357,0
1,0,208,6600,2.6095975004756733,79,work,0,0,0,0,0,0,246,0
2,90,187,52,0.10931162386835658,63,unknown,0,0,0,0,0,0,235,0
1,0,43,252,0.5570973622618939,68,unknown,0,0,0,0,0,0,2,0
1,0,11,9,0.013501011638302621,37,unknown,0,0,0,0,0,0,2,0
1,0,144,104,0.07286959645273891,45,unknown,0,1,1,1,2,0,144,0
2,22,86,1790,2.289889233478472,115,unknown,0,0,0,0,0,0,27,0
1,0,219,530,0.24955328833297669,235,unknown,0,0,0,0,0,0,313,0
1,0,70,178,1.512187409293534,56,school,0,3,1,6,1,0,6,0
1,35,239,112,0.09553115998233194,23,unknown,4,0,0,0,0,0,126,0
1,0,20,219,0.5097542604928972,9,unknown,0,0,0,0,0,0,51,0
1,20,215,9,0.010301696222771002,107,university,0,0,0,1,2,0,326,0
1,0,113,48,0.29397718912241866,207,work,0,1,1,1,2,0,63,0
1,0,71,14,0.04483053623673814,52,school,0,0,0,0,0,0,95,0
2,0,71,2,0.0013683141039142548,46,unknown,0,0,0,0,0,0,22,0
2,16,122,7,0.022002466764651854,37,university,0,0,0,0,0,0,79,0
1,0,380,2218,1.2826028746859515,277,work,0,0,0,0,0,0,636,0
1,0,192,3479,1.1771939214970952,45,university,0,0,0,0,0,0,231,0
1,0,36,723,1.340717662724103,69,school,0,0,0,0,0,0,6,0
2,116,102,7,0.0250369499927907,89,unknown,0,0,0,0,0,0,116,0
1,0,54,13,0.20884501011593018,6,unknown,0,0,0,0,0,0,17,0
1,0,126,11467,5.644070133348846,8,unknown,4,0,0,0,0,0,40,0
1,0,163,219,0.13309704930574762,110,school,0,0,0,0,0,0,18,0
2,0,100,128,0.07743160584483996,0,work,0,0,0,0,0,0,43,0
